DA	3/25	beskytte
DB	3/25	drone
DN	3/25	hilsen
SA	3/25	irritasjon
VG	3/25	kostnad
VG	3/25	kriserammede
DA	3/25	kunnskap
AA	3/25	liv
DB	3/25	marsj
AP	3/25	massedød
VG	3/25	modell
AA	3/25	nervøs
VG	3/25	nes
BT	3/25	oppdrag
DA	3/25	ord
DN	3/25	profittering
NL	3/25	snitte
DB	3/25	statistikk
DB	3/25	stille
VG	3/25	stoppen
DB	3/25	straff
NL	3/25	tegning
VG	3/25	vaksinestudie
DB	3/25	virusrelatert
DB	3/26	aggresjon
DB	3/26	avstand
DB	3/26	blogge
VG	3/26	bryllup
SA	3/26	busse
AP	3/26	dugnadsspor
BT	3/26	forsikring
SA	3/26	funn
DB	3/26	general
DB	3/26	helsepersonell
AA	3/26	klemme
BT	3/26	obligasjon
AA	3/26	oppgave
AA	3/26	plager
VG	3/26	plakat
DB	3/26	profitør
DN	3/26	tape
DN	3/26	tyngede
VG	3/26	virusarbeidsgruppe
DB	3/26	virusoppdatering
DB	3/26	virustiltak
AP	3/26	virusvekst
DB	3/27	app
AA	3/27	datum
DN	3/27	forberedelse
SA	3/27	frisk
SA	3/27	garanti
VG	3/27	hjem
DN	3/27	hull
VG	3/27	kommunikasjon
AP	3/27	krone
VG	3/27	løsning
DB	3/27	opplysningsteam
DA	3/27	støtte
AA	3/27	tabbe
DA	3/27	virustall
DB	3/28	akuttmottak
VG	3/28	date
VG	3/28	grå
DB	3/28	kabal
DB	3/28	kasse
SA	3/28	lansere
VG	3/28	milliard
VG	3/28	penger
SA	3/28	redusere
DB	3/28	skepsis
DB	3/28	studien.no
DB	3/28	sy
DB	3/28	utspill
DB	3/28	vår
VG	3/29	bremsen
DB	3/29	flukt
SA	3/29	guide
AP	3/29	hjemmeliv
VG	3/29	kommuneveiledere
VG	3/29	nedstengt
AP	3/29	nyhetsbrev
VG	3/29	produksjon
AP	3/29	sider
VG	3/29	smittebombe
DN	3/29	smitteutvikling
DB	3/29	viruskampen
VG	3/30	avbrudd
DB	3/30	bota
DB	3/30	dom
VG	3/30	frustrere
NL	3/30	helikopter
BT	3/30	helsesjekk
DN	3/30	immun
DN	3/30	immune
VG	3/30	kartlegging
VG	3/30	kostnadstall
DA	3/30	krisemøte
SA	3/30	kronikk
AA	3/30	kræsje
VG	3/30	nasjonalisme
AP	3/30	pidemi
VG	3/30	podkast
DB	3/30	psykose
NL	3/30	scenarie
BT	3/30	skade
AA	3/30	smitterestriksjon
AA	3/30	svikt
SA	3/30	tilpasning
AP	3/30	virusdata
AP	3/30	virusdate
AA	3/30	virusferie
AP	3/30	virusutbrudde
VG	3/31	arbeidsliv
DA	3/31	basere
AP	3/31	bombe
NL	3/31	hjemmetest
AP	3/31	jogge
AP	3/31	joggerskam
SA	3/31	klassiker
DA	3/31	kollaps
DB	3/31	krisas
DA	3/31	krisegruppa
DB	3/31	låse
VG	3/31	løslate
DA	3/31	sitasjone
DB	3/31	sjef
SA	3/31	sjø
DA	3/31	skatt
DB	3/31	testfeil
DA	3/31	tiltaksutvalg
DA	3/31	tiltakutvalg
DA	3/31	titak
SA	4/01	alvor
VG	4/01	bøte
DB	4/01	challenge
AP	4/01	diktator
AA	4/01	forelegg
VG	4/01	hjemmeteste
DA	4/01	hopp
AA	4/01	innrykk
DB	4/01	kartelle
VG	4/01	kjeft
SA	4/01	kneika
VG	4/01	konsekvenserbrev
AA	4/01	kunst
AA	4/01	million
AP	4/01	mistenke
DB	4/01	mobb
VG	4/01	mørketall
VG	4/01	nedstengning
DN	4/01	prege
FV	4/01	prosjekt
AP	4/01	sjokkskade
DB	4/01	slag
AP	4/01	streik
SA	4/01	stripe
AP	4/01	trening
AA	4/01	utstilling
DA	4/01	vett
FV	4/02	arrangement
SA	4/02	brif
VG	4/02	bønne
DA	4/02	detox
VG	4/02	døgn
AP	4/02	helt
AP	4/02	karanteneregel
VG	4/02	konflikt
DA	4/02	oppdatering
SA	4/02	orientering
DB	4/02	overskrift
AA	4/02	pandemiutbrudd
DB	4/02	patiente
SA	4/02	sjekklise
DA	4/02	tidens
AP	4/02	tiltakenes
DB	4/02	turnering
DA	4/02	tv
SA	4/02	virusbærer
AA	4/03	behov
AP	4/03	benke
DA	4/03	borger
DB	4/03	bryggeri
VG	4/03	bursdag
FV	4/03	flaks
FV	4/03	griseflaks
BT	4/03	helgen
DB	4/03	innsatsgruppe
AA	4/03	kriminalitet
AA	4/03	kriminell
AA	4/03	martyre
AA	4/03	reklame
BT	4/03	selvrapportering
DB	4/03	sentre
DB	4/03	smittepasient
SA	4/03	spreding
DA	4/03	teststasjon
SA	4/03	viros
DA	4/03	viruse
AP	4/04	dikt
SA	4/04	jackpot
AP	4/04	kompensasjon
DA	4/04	nedstenging
DB	4/04	prioritering
AP	4/04	rulling
DB	4/04	seng
BT	4/04	skole
VG	4/04	smittespredning
BT	4/04	språk
VG	4/04	støttemidler
DB	4/04	tilpasse
AP	4/04	vis
VG	4/05	baby
DB	4/05	bønn
VG	4/05	cruise
VG	4/05	diett
VG	4/05	idioti
BT	4/05	kjøring
AP	4/05	mening
VG	4/05	mure
VG	4/05	norsk
VG	4/05	oppussing
VG	4/05	påske
VG	4/05	skilsmisse
VG	4/05	sommer
VG	4/05	stikken
AA	4/05	virusregel
DB	4/06	hjelpepakke
VG	4/06	mittede
DB	4/06	oppstyr
DB	4/06	pressetreff
AP	4/06	rammeverk
DN	4/06	smittetall
DA	4/06	taxie
DA	4/06	tilknytte
DN	4/06	uke
AA	4/06	virusmøte
DN	4/06	virussmittetall
BT	4/07	bedrageri
VG	4/07	død
VG	4/07	gapestokk
NL	4/07	inntrenger
DN	4/07	justere
DA	4/07	kontantstøtte
VG	4/07	lede
VG	4/07	notat
AA	4/07	permisjon
DA	4/07	presang
DB	4/07	spapire
DB	4/07	spåmann
SA	4/07	stoppe
AA	4/08	dødfallet
DB	4/08	hotspots
VG	4/08	kommisjon
VG	4/08	lindring
BT	4/08	press
VG	4/08	reise
SA	4/08	skjebne
SA	4/08	sky
VG	4/08	viruseumøte
BT	4/09	feit
AA	4/09	generasjon
SA	4/09	hårkrise
VG	4/09	innstengt
VG	4/09	kriseskapte
AA	4/09	redningspakke
DB	4/09	rullingkonserte
DB	4/09	stempel
SA	4/09	sveis
VG	4/09	symbol
DA	4/09	team
DN	4/09	virusutløst
SA	4/10	brud
VG	4/10	provisorisk
AP	4/11	blomstre
FV	4/11	fatiguen
AA	4/11	immunitet
AP	4/11	krakk
AA	4/11	oppblussing
AA	4/11	rasisme
DB	4/11	siden
DA	4/11	tema
DB	4/11	viruslovverk
FV	4/12	drite
AA	4/12	dødfall
AP	4/12	fortelling
VG	4/12	ledelse
DB	4/12	pasients
DB	4/12	rikdom
AP	4/12	sammenligning
AA	4/12	true
AP	4/13	finansiering
AA	4/13	laboratorium
VG	4/13	metode
AA	4/13	måling
DB	4/13	tom
VG	4/13	viruskaos
AA	4/13	virusrapport
AP	4/13	år
DA	4/14	dato
AP	4/14	isolasjonsenhet$
AA	4/14	kurs
DB	4/14	lovparaplyen
VG	4/14	maraton
AP	4/14	reseptor
DA	4/14	sesong
DB	4/14	virusapp
AP	4/15	gave
SA	4/15	kvartal
DA	4/15	opptur
VG	4/15	pil
DA	4/15	redsel
AA	4/15	registrere
AP	4/15	robust
DA	4/15	tanke
DN	4/15	virusdrevne
VG	4/16	autoritet
DB	4/16	bok
AP	4/16	cruiseskip
DA	4/16	dødsstatistikke
VG	4/16	egoisme
DA	4/16	forebyggende
AA	4/16	gap
VG	4/16	gransking
VG	4/16	konspirasjon
AA	4/16	lyspunkt
AA	4/16	midler
AA	4/16	punkt
SA	4/16	rekord
AP	4/16	retorikk
AP	4/16	runde
VG	4/16	senskade
DA	4/16	åpningstid
DN	4/17	aksje
DB	4/17	bonanza
DB	4/17	boost
VG	4/17	forsinke
VG	4/17	konfrontere
VG	4/17	mann
BT	4/17	nødhjelp
VG	4/17	permitteringsregel
AP	4/17	tillegg
DB	4/17	vennlig
VG	4/18	begrensning
AP	4/18	frustrasjon
DB	4/18	lekkasje
NL	4/18	natt
NL	4/18	oppsving
DB	4/18	portforbud
DB	4/18	smitteanbefaling
DB	4/18	veileder
VG	4/18	viurs
NL	4/19	adferd
DB	4/19	demonstrant
DB	4/19	diktatur
DB	4/19	klima
DB	4/19	komplikasjon
AP	4/19	luksus
SA	4/19	smittestatus
DA	4/20	barometer
VG	4/20	bekrefte
AA	4/20	brifing
VG	4/20	demonstrasjon
DA	4/20	gjeld
DN	4/20	hele
DB	4/20	hår
AP	4/20	kneik
AP	4/20	nave
VG	4/20	regulering
SA	4/20	salg
SA	4/20	sykdommens
AA	4/20	tåke
VG	4/20	versting
AA	4/21	distansering
NL	4/21	dødsstille
DN	4/21	fornekter
AA	4/21	knute
VG	4/21	leir
DB	4/21	munnbind
DA	4/21	nettprat
VG	4/21	protest
AP	4/21	stemning
DA	4/21	venn
DB	4/22	avsperre
VG	4/22	konkurranse
DN	4/22	krisemilliarde
VG	4/22	nordmann
DN	4/22	oppgjør
DA	4/22	tanker
AA	4/22	vaksinere
DN	4/22	vinne
DN	4/22	vinner
DB	4/23	bestemor
DB	4/23	feber
VG	4/23	genser
NL	4/23	hets
VG	4/23	infeksjone
AP	4/23	kommisjonens
DA	4/23	manøver
AA	4/23	myte
NL	4/23	optimist
AA	4/23	pleier
SA	4/23	prise
VG	4/23	stipend
NL	4/23	strand
AA	4/23	svindle
SA	4/23	vekst
VG	4/23	virusekspertpanelet
AP	4/23	viruses
DB	4/24	antistoff
NL	4/24	deteksjon
AA	4/24	dragsuget
BT	4/24	granskning
VG	4/24	hurtigteste
DA	4/24	jordbær
DA	4/24	ordning
SA	4/24	skolehverdag
DA	4/24	smittejordbær
DA	4/24	spørretime
VG	4/24	teori
DB	4/24	toppmøte
DA	4/24	tradisjon
DN	4/24	truede
AA	4/24	venting
VG	4/24	virusdirektorat
NL	4/24	virussvar
AA	4/24	åpning
FV	4/25	indusere
NL	4/25	mørketid
NL	4/25	permisjonens
DB	4/25	refs
VG	4/25	roman
VG	4/25	vinde
VG	4/26	inspeksjon
NL	4/26	modus
BT	4/26	protein
AP	4/26	ravn
AP	4/26	ravnordning
DA	4/26	spagat
SA	4/27	bonus
SA	4/27	dimensjon
VG	4/27	dokument
AA	4/27	forholdsregel
SA	4/27	forklaring
VG	4/27	fotball
AA	4/27	fullmakt
DA	4/27	inspeksjone
VG	4/27	klem
DB	4/27	klippen
DB	4/27	liste
DB	4/27	nestor
DB	4/27	reglement
DA	4/27	sjanse
SA	4/27	storm
DA	4/27	uløkka
AA	4/28	forbindelse
DA	4/28	gransker
VG	4/28	overlevende
VG	4/28	synd
VG	4/28	viruskontakte
VG	4/29	diplomati
AA	4/29	forskjell
DN	4/29	friskmelde
DA	4/29	hjelpgruppe
NL	4/29	håp
VG	4/29	industri
AA	4/29	lettelse
DN	4/29	sliten
VG	4/29	virusdiplomati
DB	4/30	forløpe
DA	4/30	katt
DB	4/30	klipp
AA	4/30	kristen
SA	4/30	pakker
DB	4/30	pass
DB	4/30	passe
DN	4/30	race
NL	4/30	studium
SA	4/30	støttemottakere
AP	4/30	vente
AA	4/30	virusrestriksjoner
AA	4/30	virustrussele
DA	5/01	arbeider
AP	5/01	avfall
VG	5/01	avstemning
VG	5/01	begrenset
VG	5/01	granskingskommisjon
SA	5/01	krasj
AA	5/01	kutte
DN	5/01	lederskap
VG	5/01	misbruker
SA	5/01	ras
DA	5/01	sitte
AP	5/02	handle
DA	5/02	orkan
AP	5/02	virustema
DB	5/03	blod
DB	5/03	gevinst
SA	5/03	portrett
AA	5/03	stilling
AP	5/03	stole
DB	5/03	stunt
DB	5/03	tilbud
DB	5/03	turnus
NL	5/04	belastning
VG	5/04	bråstoppe
BT	5/04	flaske
NL	5/04	gruve
NL	5/04	hjemmekontorperiode
DB	5/04	pils
DB	5/04	samhold
DB	5/04	skille
DB	5/04	spesiale
DB	5/04	vegge
DN	5/05	beslutning
DB	5/05	besøk
BT	5/05	bunn
VG	5/05	business
AA	5/05	fall
VG	5/05	feltsykehus
DB	5/05	gebyr
DN	5/05	giverglede
DA	5/05	gjørma
DA	5/05	gjørme
AP	5/05	intervjue
SA	5/05	leksikon
NL	5/05	opptatt
AA	5/05	resultat
AP	5/05	tragedie
DA	5/05	trengsel
AA	5/05	underskudd
AA	5/05	veilede
VG	5/06	alternativ
DB	5/06	forske
DA	5/06	kake
AP	5/06	konsum
AP	5/06	opphopning
AA	5/06	oppmyking
AP	5/06	oppmykning
DB	5/06	partikkel
AP	5/06	rådgiver
AA	5/06	skrekk
AP	5/06	stegning
VG	5/06	tabu
VG	5/06	utdeling
DB	5/06	vårens
AP	5/07	barnehage
BT	5/07	ekspedisjon
AP	5/07	jobb
AP	5/07	ledig
AA	5/07	reportasje
VG	5/07	serie
BT	5/07	styr
BT	5/07	tvangsregel
AP	5/08	arbeidsdag
AA	5/08	dødstallnivå
VG	5/08	frisyre
AP	5/08	ledighet
DA	5/08	minske
DB	5/09	friskmeldte
VG	5/09	gang
NL	5/09	hodepine
VG	5/09	krave
AA	5/09	plage
BT	5/09	reglane
DA	5/09	restriksjonene
VG	5/09	stil
